date,Type,n
2016-10-01,g,278
2016-10-01,h,76
2016-10-01,Unknown,24
2016-11-01,d,5
2016-11-01,g,1701
2016-11-01,h,439
2016-11-01,Unknown,113
2016-12-01,d,11
2016-12-01,e,1
2016-12-01,g,3290
2016-12-01,h,742
2016-12-01,Unknown,134
2017-01-01,d,10
2017-01-01,e,1
2017-01-01,g,3436
2017-01-01,h,769
2017-01-01,Unknown,122
2017-02-01,d,5
2017-02-01,g,3187
2017-02-01,h,714
2017-02-01,Unknown,125
2017-03-01,d,9
2017-03-01,e,1
2017-03-01,g,4220
2017-03-01,h,954
2017-03-01,Unknown,157
2017-04-01,d,2
2017-04-01,e,1
2017-04-01,g,4429
2017-04-01,h,927
2017-04-01,Unknown,180
2017-05-01,d,10
2017-05-01,e,1
2017-05-01,g,4228
2017-05-01,h,942
2017-05-01,Unknown,155
2017-06-01,d,9
2017-06-01,e,2
2017-06-01,g,3862
2017-06-01,h,913
2017-06-01,Unknown,157
2017-07-01,d,6
2017-07-01,e,1
2017-07-01,g,3567
2017-07-01,h,803
2017-07-01,Unknown,119
2017-08-01,d,9
2017-08-01,e,1
2017-08-01,g,4439
2017-08-01,h,897
2017-08-01,Unknown,158
2017-09-01,d,11
2017-09-01,e,2
2017-09-01,g,3878
2017-09-01,h,848
2017-09-01,Unknown,158
2017-10-01,d,10
2017-10-01,g,4584
2017-10-01,h,903
2017-10-01,Unknown,172
2017-11-01,d,2
2017-11-01,e,2
2017-11-01,g,4259
2017-11-01,h,837
2017-11-01,Unknown,197
2017-12-01,d,8
2017-12-01,g,4897
2017-12-01,h,1013
2017-12-01,Unknown,214
2018-01-01,g,125
2018-01-01,h,28
2018-01-01,Unknown,2
