expirationDate,baseType,vin,date,make,model,year,gas1,gas2,identifier,mpg
01/02/2021,BLACK-CAR,2LNBL8CVXBX751564,2018-01-02,LINCOLN,Town Car,2011,Flexible Fuel Vehicle (FFV),Gasoline,lincolntown2011h,16
01/02/2021,BLACK-CAR,5N1AR2MM5GC610354,2018-01-02,NISSAN,Pathfinder,2016,Gasoline,,nissanpathfinder2016g,19.3333333333333
01/02/2021,BLACK-CAR,5FRYD4H44FB017401,2018-01-02,ACURA,MDX,2015,Gasoline,,acuramdx2015g,19
01/02/2021,LIVERY,4T3ZA3BB0AU031928,2018-01-02,TOYOTA,Venza,2010,Gasoline,,toyotavenza2010g,19.5
01/02/2021,BLACK-CAR,4T1BD1FK7GU197727,2018-01-02,TOYOTA,Camry,2016,Gasoline,Electric,toyotacamry2016h,
01/02/2021,LIVERY,JTDKN3DU6F1930271,2018-01-02,TOYOTA,PRIUS,2015,Gasoline,Electric,toyotaprius2015h,51
01/02/2021,LUXURY,2G61U5S31K9115618,2018-01-02,CADILLAC,XTS,2019,Gasoline,,cadillacxts2019g,16.4
01/02/2021,BLACK-CAR,4T1BF1FK8CU154907,2018-01-02,TOYOTA,Camry,2012,Gasoline,,toyotacamry2012g,31.75
01/02/2021,BLACK-CAR,5N1AL0MM3GC514924,2018-01-02,INFINITI,QX60,2016,Gasoline,,infinitiqx602016g,22.75
01/02/2021,BLACK-CAR,4T1BK1EB1HU258420,2018-01-02,TOYOTA,Avalon,2017,Gasoline,,toyotaavalon2017g,30.5
01/02/2021,BLACK-CAR,5FNYF6H97HB003028,2018-01-02,HONDA,Pilot,2017,Gasoline,,hondapilot2017g,19
01/02/2021,BLACK-CAR,4T1B11HK5JU046897,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,2T3RFREV9JW744515,2018-01-02,TOYOTA,RAV4,2018,Gasoline,,toyotarav42018g,24.8
01/02/2021,LIVERY,5TDKK3DCXCS191954,2018-01-02,TOYOTA,Sienna,2012,Gasoline,,toyotasienna2012g,18
01/02/2021,BLACK-CAR,JTEBW3EH3A2043286,2018-01-02,TOYOTA,Highlander,2010,Gasoline,Electric,toyotahighlander2010h,
01/02/2021,LIVERY,4T3ZA3BB8AU028632,2018-01-02,TOYOTA,Venza,2010,Gasoline,,toyotavenza2010g,19.5
01/02/2021,LUXURY,WDDUG8GB1JA379319,2018-01-02,MERCEDES-BENZ,S-Class,2018,Gasoline,,mercedesbenzs2018g,
01/02/2021,LIVERY,4T1BD1FK5CU027067,2018-01-02,TOYOTA,Camry,2012,Gasoline,Electric,toyotacamry2012h,
01/02/2021,LIVERY,2LNBL8EVXBX765459,2018-01-02,LINCOLN,Town Car,2011,Flexible Fuel Vehicle (FFV),Gasoline,lincolntown2011h,16
01/02/2021,BLACK-CAR,5TDKK3DC7CS184489,2018-01-02,TOYOTA,Sienna,2012,Gasoline,,toyotasienna2012g,18
01/02/2021,LIVERY,5TDKK3DC6CS177338,2018-01-02,TOYOTA,Sienna,2012,Gasoline,,toyotasienna2012g,18
01/02/2021,BLACK-CAR,JTDZN3EU8EJ002294,2018-01-02,TOYOTA,Prius V,2014,Gasoline,Electric,toyotaprius2014h,51
01/02/2021,BLACK-CAR,4T1BD1FK8CU045546,2018-01-02,TOYOTA,Camry,2012,Gasoline,Electric,toyotacamry2012h,
01/02/2021,BLACK-CAR,4T1BF1FK0EU346731,2018-01-02,TOYOTA,Camry,2014,Gasoline,,toyotacamry2014g,32
01/02/2021,BLACK-CAR,4T1G11AK3LU303977,2018-01-02,TOYOTA,Camry,2020,Gasoline,,toyotacamry2020g,
01/02/2021,BLACK-CAR,4T1BF1FK8FU889312,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,LIVERY,5FNRL6H51KB013555,2018-01-02,HONDA,Odyssey,2019,Gasoline,,hondaodyssey2019g,19
01/02/2021,BLACK-CAR,4T1BF1FK4FU497928,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,4T1BF1FK0FU496081,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,4T1BF1FK6FU891186,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,1N4AL3AP7JC295077,2018-01-02,NISSAN,Altima,2018,Gasoline,,nissanaltima2018g,25
